EUROSYS_ITEM,Item,Time,Value
A54,Structural reverse operations,2007-08-31,0
A54,Structural reverse operations,2007-09-07,0
A54,Structural reverse operations,2007-09-14,0
A54,Structural reverse operations,2007-09-21,0
A54,Structural reverse operations,2007-09-28,0
A54,Structural reverse operations,2007-10-05,0
A54,Structural reverse operations,2007-10-12,0
A54,Structural reverse operations,2008-07-04,0
A54,Structural reverse operations,2008-07-11,0
A54,Structural reverse operations,2008-07-18,0
A54,Structural reverse operations,2008-07-25,0
A54,Structural reverse operations,2008-08-01,0
A54,Structural reverse operations,2008-08-08,0
A54,Structural reverse operations,2008-08-15,0
A54,Structural reverse operations,2008-08-22,0
A54,Structural reverse operations,2008-08-29,0
A54,Structural reverse operations,2008-09-05,0
A54,Structural reverse operations,2008-09-12,0
A54,Structural reverse operations,2008-09-19,0
A54,Structural reverse operations,2008-09-26,0
A54,Structural reverse operations,2000-08-18,0
A54,Structural reverse operations,2000-08-25,0
A54,Structural reverse operations,2000-09-01,0
A54,Structural reverse operations,2000-09-08,0
A54,Structural reverse operations,2001-10-12,0
A54,Structural reverse operations,2001-10-19,0
A54,Structural reverse operations,2001-10-26,0
A54,Structural reverse operations,2001-11-02,0
A54,Structural reverse operations,2001-11-09,0
A54,Structural reverse operations,2001-11-16,0
A54,Structural reverse operations,2001-11-23,0
A54,Structural reverse operations,2001-11-30,53000
A54,Structural reverse operations,2001-12-07,0
A54,Structural reverse operations,2001-12-14,0
A54,Structural reverse operations,2001-12-21,0
A54,Structural reverse operations,2001-12-28,0
A54,Structural reverse operations,2002-01-04,0
A54,Structural reverse operations,2002-01-11,0
A54,Structural reverse operations,2002-01-18,0
A54,Structural reverse operations,2002-01-25,0
A54,Structural reverse operations,2002-02-01,0
A54,Structural reverse operations,2002-02-08,0
A54,Structural reverse operations,2002-11-01,0
A54,Structural reverse operations,2002-11-08,0
A54,Structural reverse operations,2002-11-15,0
A54,Structural reverse operations,2002-11-22,0
A54,Structural reverse operations,2002-11-29,0
A54,Structural reverse operations,2002-12-06,0
A54,Structural reverse operations,2002-12-13,0
A54,Structural reverse operations,2002-12-20,0
A54,Structural reverse operations,2002-12-27,0
A54,Structural reverse operations,2003-01-03,0
A54,Structural reverse operations,2003-01-10,0
A54,Structural reverse operations,2003-01-17,0
A54,Structural reverse operations,2003-01-24,0
A54,Structural reverse operations,2003-01-31,0
A54,Structural reverse operations,2003-02-07,0
A54,Structural reverse operations,2003-02-14,0
A54,Structural reverse operations,2003-02-21,0
A54,Structural reverse operations,2003-02-28,0
A54,Structural reverse operations,2003-03-07,0
A54,Structural reverse operations,2003-11-28,0
A54,Structural reverse operations,2003-12-05,0
A54,Structural reverse operations,2003-12-12,0
A54,Structural reverse operations,2003-12-19,0
A54,Structural reverse operations,2003-12-26,0
A54,Structural reverse operations,2004-01-02,0
A54,Structural reverse operations,2004-01-09,0
A54,Structural reverse operations,2004-01-16,0
A54,Structural reverse operations,2004-01-23,0
A54,Structural reverse operations,2004-01-30,0
A54,Structural reverse operations,2004-02-06,0
A54,Structural reverse operations,2004-02-13,0
A54,Structural reverse operations,2004-02-20,0
A54,Structural reverse operations,2004-02-27,0
A54,Structural reverse operations,2004-03-05,0
A54,Structural reverse operations,2004-03-12,0
A54,Structural reverse operations,2004-03-19,0
A54,Structural reverse operations,2004-03-26,0
A54,Structural reverse operations,2004-12-17,0
A54,Structural reverse operations,2004-12-24,0
A54,Structural reverse operations,2004-12-31,0
A54,Structural reverse operations,2005-01-07,0
A54,Structural reverse operations,2005-01-14,0
A54,Structural reverse operations,2005-01-21,0
A54,Structural reverse operations,2005-01-28,0
A54,Structural reverse operations,2005-02-04,0
A54,Structural reverse operations,2005-02-11,0
A54,Structural reverse operations,2005-02-18,0
A54,Structural reverse operations,2005-02-25,0
A54,Structural reverse operations,2005-03-04,0
A54,Structural reverse operations,2005-03-11,0
A54,Structural reverse operations,2005-03-18,0
A54,Structural reverse operations,2005-03-25,0
A54,Structural reverse operations,2005-04-01,0
A54,Structural reverse operations,2005-04-08,0
A54,Structural reverse operations,2005-04-15,0
A54,Structural reverse operations,2006-01-06,0
A54,Structural reverse operations,2006-01-13,0
A54,Structural reverse operations,2006-01-20,0
A54,Structural reverse operations,2006-01-27,0
A54,Structural reverse operations,2006-02-03,0
A54,Structural reverse operations,2006-02-10,0
A54,Structural reverse operations,2006-02-17,0
A54,Structural reverse operations,2006-02-24,0
A54,Structural reverse operations,2006-03-03,0
A54,Structural reverse operations,2006-03-10,0
A54,Structural reverse operations,2006-03-17,0
A54,Structural reverse operations,2006-03-24,0
A54,Structural reverse operations,2006-03-31,0
A54,Structural reverse operations,2006-04-07,0
A54,Structural reverse operations,2006-04-14,0
A54,Structural reverse operations,2006-04-21,0
A54,Structural reverse operations,2006-04-28,0
A54,Structural reverse operations,2006-05-05,0
A54,Structural reverse operations,2006-05-12,0
A54,Structural reverse operations,2007-02-02,0
A54,Structural reverse operations,2007-02-09,0
A54,Structural reverse operations,2007-02-16,0
A54,Structural reverse operations,2007-02-23,0
A54,Structural reverse operations,2007-03-02,0
A54,Structural reverse operations,2007-03-09,0
A54,Structural reverse operations,2007-03-16,0
A54,Structural reverse operations,2007-03-23,0
A54,Structural reverse operations,2007-03-30,0
A54,Structural reverse operations,2007-04-06,0
A54,Structural reverse operations,2007-04-13,0
A54,Structural reverse operations,2007-04-20,0
A54,Structural reverse operations,2007-04-27,0
A54,Structural reverse operations,2007-05-04,0
A54,Structural reverse operations,2007-05-11,0
A54,Structural reverse operations,2007-05-18,0
A54,Structural reverse operations,2007-05-25,0
A54,Structural reverse operations,2007-06-01,0
A54,Structural reverse operations,2008-02-22,0
A54,Structural reverse operations,2008-02-29,0
A54,Structural reverse operations,2008-03-07,0
A54,Structural reverse operations,2008-03-14,0
A54,Structural reverse operations,2008-03-21,0
A54,Structural reverse operations,2008-03-28,0
A54,Structural reverse operations,2008-04-04,0
A54,Structural reverse operations,2008-04-11,0
A54,Structural reverse operations,2008-04-18,0
A54,Structural reverse operations,2008-04-25,0
A54,Structural reverse operations,2008-05-02,0
A54,Structural reverse operations,2008-05-09,0
A54,Structural reverse operations,2008-05-16,0
A54,Structural reverse operations,2008-05-23,0
A54,Structural reverse operations,2008-05-30,0
A54,Structural reverse operations,2008-06-06,0
A54,Structural reverse operations,2008-06-13,0
A54,Structural reverse operations,2008-06-20,0
A54,Structural reverse operations,2008-06-27,0
A54,Structural reverse operations,2009-03-20,0
A54,Structural reverse operations,2009-03-27,0
A54,Structural reverse operations,2009-04-03,0
A54,Structural reverse operations,2009-04-10,0
A54,Structural reverse operations,2009-04-17,0
A54,Structural reverse operations,2009-04-24,0
A54,Structural reverse operations,2009-05-01,0
A54,Structural reverse operations,2009-05-08,0
A54,Structural reverse operations,2009-05-15,0
A54,Structural reverse operations,2009-05-22,0
A54,Structural reverse operations,2009-05-29,0
A54,Structural reverse operations,2009-06-05,0
A54,Structural reverse operations,2009-06-12,0
A54,Structural reverse operations,2009-06-19,0
A54,Structural reverse operations,1999-03-05,0
A54,Structural reverse operations,1999-03-12,0
A54,Structural reverse operations,1999-03-19,0
A54,Structural reverse operations,1999-03-26,0
A54,Structural reverse operations,1999-04-02,0
A54,Structural reverse operations,1999-04-09,0
A54,Structural reverse operations,2000-01-07,0
A54,Structural reverse operations,2000-01-14,0
A54,Structural reverse operations,2000-01-21,0
A54,Structural reverse operations,2000-01-28,0
A54,Structural reverse operations,2000-02-04,0
A54,Structural reverse operations,2000-02-11,0
A54,Structural reverse operations,2000-02-18,0
A54,Structural reverse operations,2000-02-25,0
A54,Structural reverse operations,2000-03-03,0
A54,Structural reverse operations,2000-03-10,0
A54,Structural reverse operations,2000-03-17,0
A54,Structural reverse operations,2000-03-24,0
A54,Structural reverse operations,2000-03-31,0
A54,Structural reverse operations,2000-04-07,0
A54,Structural reverse operations,2000-04-14,0
A54,Structural reverse operations,2000-04-21,0
A54,Structural reverse operations,2000-04-28,0
A54,Structural reverse operations,2000-05-05,0
A54,Structural reverse operations,2001-06-01,0
A54,Structural reverse operations,2001-06-08,0
A54,Structural reverse operations,2001-06-15,0
A54,Structural reverse operations,2001-06-22,0
A54,Structural reverse operations,2001-06-29,0
A54,Structural reverse operations,2001-07-06,0
A54,Structural reverse operations,2001-07-13,0
A54,Structural reverse operations,2001-07-20,0
A54,Structural reverse operations,2001-07-27,0
A54,Structural reverse operations,2001-08-03,0
A54,Structural reverse operations,2001-08-10,0
A54,Structural reverse operations,2001-08-17,0
A54,Structural reverse operations,2001-08-24,0
A54,Structural reverse operations,2001-08-31,0
A54,Structural reverse operations,2001-09-07,0
A54,Structural reverse operations,2001-09-14,0
A54,Structural reverse operations,2001-09-21,0
A54,Structural reverse operations,2001-09-28,0
A54,Structural reverse operations,2001-10-05,0
A54,Structural reverse operations,2002-06-28,0
A54,Structural reverse operations,2002-07-05,0
A54,Structural reverse operations,2002-07-12,0
A54,Structural reverse operations,2002-07-19,0
A54,Structural reverse operations,2002-07-26,0
A54,Structural reverse operations,2002-08-02,0
A54,Structural reverse operations,2002-08-09,0
A54,Structural reverse operations,2002-08-16,0
A54,Structural reverse operations,2002-08-23,0
A54,Structural reverse operations,2002-08-30,0
A54,Structural reverse operations,2002-09-06,0
A54,Structural reverse operations,2002-09-13,0
A54,Structural reverse operations,2002-09-20,0
A54,Structural reverse operations,2002-09-27,0
A54,Structural reverse operations,2002-10-04,0
A54,Structural reverse operations,2002-10-11,0
A54,Structural reverse operations,2002-10-18,0
A54,Structural reverse operations,2002-10-25,0
A54,Structural reverse operations,2003-07-18,0
A54,Structural reverse operations,2003-07-25,0
A54,Structural reverse operations,2003-08-01,0
A54,Structural reverse operations,2003-08-08,0
A54,Structural reverse operations,2003-08-15,0
A54,Structural reverse operations,2003-08-22,0
A54,Structural reverse operations,2003-08-29,0
A54,Structural reverse operations,2003-09-05,0
A54,Structural reverse operations,2003-09-12,0
A54,Structural reverse operations,2003-09-19,0
A54,Structural reverse operations,2003-09-26,0
A54,Structural reverse operations,2003-10-03,0
A54,Structural reverse operations,2003-10-10,0
A54,Structural reverse operations,2003-10-17,0
A54,Structural reverse operations,2003-10-24,0
A54,Structural reverse operations,2003-10-31,0
A54,Structural reverse operations,2003-11-07,0
A54,Structural reverse operations,2003-11-14,0
A54,Structural reverse operations,2003-11-21,0
A54,Structural reverse operations,2004-08-06,0
A54,Structural reverse operations,2004-08-13,0
A54,Structural reverse operations,2004-08-20,0
A54,Structural reverse operations,2004-08-27,0
A54,Structural reverse operations,2004-09-03,0
A54,Structural reverse operations,2004-09-10,0
A54,Structural reverse operations,2004-09-17,0
A54,Structural reverse operations,2004-09-24,0
A54,Structural reverse operations,2004-10-01,0
A54,Structural reverse operations,2004-10-08,0
A54,Structural reverse operations,2004-10-15,0
A54,Structural reverse operations,2004-10-22,0
A54,Structural reverse operations,2004-10-29,0
A54,Structural reverse operations,2004-11-05,0
A54,Structural reverse operations,2004-11-12,0
A54,Structural reverse operations,2004-11-19,0
A54,Structural reverse operations,2004-11-26,0
A54,Structural reverse operations,2004-12-03,0
A54,Structural reverse operations,2004-12-10,0
A54,Structural reverse operations,2005-09-02,0
A54,Structural reverse operations,2005-09-09,0
A54,Structural reverse operations,2005-09-16,0
A54,Structural reverse operations,2005-09-23,0
A54,Structural reverse operations,2005-09-30,0
A54,Structural reverse operations,2005-10-07,0
A54,Structural reverse operations,2005-10-14,0
A54,Structural reverse operations,2005-10-21,0
A54,Structural reverse operations,2005-10-28,0
A54,Structural reverse operations,2005-11-04,0
A54,Structural reverse operations,2005-11-11,0
A54,Structural reverse operations,2005-11-18,0
A54,Structural reverse operations,2005-11-25,0
A54,Structural reverse operations,2005-12-02,0
A54,Structural reverse operations,2005-12-09,0
A54,Structural reverse operations,2005-12-16,0
A54,Structural reverse operations,2005-12-23,0
A54,Structural reverse operations,2005-12-30,0
A54,Structural reverse operations,2006-09-22,0
A54,Structural reverse operations,2006-09-29,0
A54,Structural reverse operations,2006-10-06,0
A54,Structural reverse operations,2006-10-13,0
A54,Structural reverse operations,2006-10-20,0
A54,Structural reverse operations,2006-10-27,0
A54,Structural reverse operations,2006-11-03,0
A54,Structural reverse operations,2006-11-10,0
A54,Structural reverse operations,2006-11-17,0
A54,Structural reverse operations,2006-11-24,0
A54,Structural reverse operations,2006-12-01,0
A54,Structural reverse operations,2006-12-08,0
A54,Structural reverse operations,2006-12-15,0
A54,Structural reverse operations,2006-12-22,0
A54,Structural reverse operations,2006-12-29,0
A54,Structural reverse operations,2007-01-05,0
A54,Structural reverse operations,2007-01-12,0
A54,Structural reverse operations,2007-01-19,0
A54,Structural reverse operations,2007-01-26,0
A54,Structural reverse operations,2007-10-19,0
A54,Structural reverse operations,2007-10-26,0
A54,Structural reverse operations,2007-11-02,0
A54,Structural reverse operations,2007-11-09,0
A54,Structural reverse operations,2007-11-16,0
A54,Structural reverse operations,2007-11-23,0
A54,Structural reverse operations,2007-11-30,0
A54,Structural reverse operations,2007-12-07,0
A54,Structural reverse operations,2007-12-14,0
A54,Structural reverse operations,2007-12-21,0
A54,Structural reverse operations,2007-12-28,0
A54,Structural reverse operations,2008-10-03,0
A54,Structural reverse operations,2008-10-10,0
A54,Structural reverse operations,2008-10-17,0
A54,Structural reverse operations,2008-10-24,0
A54,Structural reverse operations,2008-10-31,0
A54,Structural reverse operations,2009-07-24,0
A54,Structural reverse operations,2009-07-31,0
A54,Structural reverse operations,2009-08-07,0
A54,Structural reverse operations,2009-08-14,0
A54,Structural reverse operations,2009-08-21,0
A54,Structural reverse operations,2009-08-28,0
A54,Structural reverse operations,2009-09-04,0
A54,Structural reverse operations,2009-09-11,0
A54,Structural reverse operations,2009-09-18,0
A54,Structural reverse operations,2009-09-25,0
A54,Structural reverse operations,2009-10-02,0
A54,Structural reverse operations,2009-10-09,0
A54,Structural reverse operations,2009-10-16,0
A54,Structural reverse operations,2009-10-23,0
A54,Structural reverse operations,2009-10-30,0
A54,Structural reverse operations,2009-11-06,0
A54,Structural reverse operations,2009-11-13,0
A54,Structural reverse operations,2009-11-20,0
A54,Structural reverse operations,2009-11-27,0
A54,Structural reverse operations,2010-08-13,0
A54,Structural reverse operations,2010-08-20,0
A54,Structural reverse operations,2010-08-27,0
A54,Structural reverse operations,2010-09-03,0
A54,Structural reverse operations,2010-09-10,0
A54,Structural reverse operations,2010-09-17,0
A54,Structural reverse operations,2010-09-24,0
A54,Structural reverse operations,2010-10-01,0
A54,Structural reverse operations,2010-10-08,0
A54,Structural reverse operations,2010-10-15,0
A54,Structural reverse operations,2010-10-22,0
A54,Structural reverse operations,2010-10-29,0
A54,Structural reverse operations,2010-11-05,0
A54,Structural reverse operations,2010-11-12,0
A54,Structural reverse operations,2010-11-19,0
A54,Structural reverse operations,2010-11-26,0
A54,Structural reverse operations,2010-12-03,0
A54,Structural reverse operations,2010-12-10,0
A54,Structural reverse operations,2010-12-17,0
A54,Structural reverse operations,2011-09-09,0
A54,Structural reverse operations,2011-09-16,0
A54,Structural reverse operations,2011-09-23,0
A54,Structural reverse operations,2011-09-30,0
A54,Structural reverse operations,2011-10-07,0
A54,Structural reverse operations,2011-10-14,0
A54,Structural reverse operations,2011-10-21,0
A54,Structural reverse operations,2011-10-28,0
A54,Structural reverse operations,2011-11-04,0
A54,Structural reverse operations,2011-11-11,0
A54,Structural reverse operations,2011-11-18,0
A54,Structural reverse operations,2011-11-25,0
A54,Structural reverse operations,2011-12-02,0
A54,Structural reverse operations,2011-12-09,0
A54,Structural reverse operations,2011-12-16,0
A54,Structural reverse operations,2011-12-23,0
A54,Structural reverse operations,2011-12-30,0
A54,Structural reverse operations,2012-01-06,0
A54,Structural reverse operations,2012-09-28,0
A54,Structural reverse operations,2012-10-05,0
A54,Structural reverse operations,2012-10-12,0
A54,Structural reverse operations,2012-10-19,0
A54,Structural reverse operations,2012-10-26,0
A54,Structural reverse operations,2012-11-02,0
A54,Structural reverse operations,2012-11-09,0
A54,Structural reverse operations,2012-11-16,0
A54,Structural reverse operations,2012-11-23,0
A54,Structural reverse operations,2012-11-30,0
A54,Structural reverse operations,2012-12-07,0
A54,Structural reverse operations,2012-12-14,0
A54,Structural reverse operations,2012-12-21,0
A54,Structural reverse operations,2012-12-28,0
A54,Structural reverse operations,2013-01-04,0
A54,Structural reverse operations,2013-01-11,0
A54,Structural reverse operations,2013-01-18,0
A54,Structural reverse operations,2013-01-25,0
A54,Structural reverse operations,2013-02-01,0
A54,Structural reverse operations,2013-10-25,0
A54,Structural reverse operations,2013-11-01,0
A54,Structural reverse operations,2013-11-08,0
A54,Structural reverse operations,2013-11-15,0
A54,Structural reverse operations,2013-11-22,0
A54,Structural reverse operations,2013-11-29,0
A54,Structural reverse operations,2013-12-06,0
A54,Structural reverse operations,2013-12-13,0
A54,Structural reverse operations,2013-12-20,0
A54,Structural reverse operations,2013-12-27,0
A54,Structural reverse operations,2014-01-03,0
A54,Structural reverse operations,2014-01-10,0
A54,Structural reverse operations,2014-01-17,0
A54,Structural reverse operations,2014-01-24,0
A54,Structural reverse operations,2014-01-31,0
A54,Structural reverse operations,2014-02-07,0
A54,Structural reverse operations,2014-02-14,0
A54,Structural reverse operations,2014-02-21,0
A54,Structural reverse operations,2014-11-14,0
A54,Structural reverse operations,2014-11-21,0
A54,Structural reverse operations,2014-11-28,0
A54,Structural reverse operations,2014-12-05,0
A54,Structural reverse operations,2014-12-12,0
A54,Structural reverse operations,2014-12-19,0
A54,Structural reverse operations,2014-12-26,0
A54,Structural reverse operations,2015-01-02,0
A54,Structural reverse operations,2015-01-09,0
A54,Structural reverse operations,2015-01-16,0
A54,Structural reverse operations,2015-01-23,0
A54,Structural reverse operations,2015-01-30,0
A54,Structural reverse operations,2015-02-06,0
A54,Structural reverse operations,2015-02-13,0
A54,Structural reverse operations,2015-02-20,0
A54,Structural reverse operations,2015-02-27,0
A54,Structural reverse operations,2015-03-06,0
A54,Structural reverse operations,2015-03-13,0
A54,Structural reverse operations,2015-03-20,0
A54,Structural reverse operations,2015-12-11,0
A54,Structural reverse operations,2015-12-18,0
A54,Structural reverse operations,2015-12-25,0
A54,Structural reverse operations,2016-01-01,0
A54,Structural reverse operations,2016-01-08,0
A54,Structural reverse operations,2016-01-15,0
A54,Structural reverse operations,2016-01-22,0
A54,Structural reverse operations,2016-01-29,0
A54,Structural reverse operations,2016-02-05,0
A54,Structural reverse operations,2016-02-12,0
A54,Structural reverse operations,2016-02-19,0
A54,Structural reverse operations,2016-02-26,0
A54,Structural reverse operations,2016-03-04,0
A54,Structural reverse operations,2016-03-11,0
A54,Structural reverse operations,2016-03-18,0
A54,Structural reverse operations,2016-03-25,0
A54,Structural reverse operations,2016-04-01,0
A54,Structural reverse operations,2016-04-08,0
A54,Structural reverse operations,2016-12-30,0
A54,Structural reverse operations,2017-01-06,0
A54,Structural reverse operations,2017-01-13,0
A54,Structural reverse operations,2017-01-20,0
A54,Structural reverse operations,2017-01-27,0
A54,Structural reverse operations,2017-02-03,0
A54,Structural reverse operations,2017-02-10,0
A54,Structural reverse operations,2017-02-17,0
A54,Structural reverse operations,2017-02-24,0
A54,Structural reverse operations,2017-03-03,0
A54,Structural reverse operations,2017-03-10,0
A54,Structural reverse operations,2017-03-17,0
A54,Structural reverse operations,2017-03-24,0
